mean_ci	sd_ci	min_ci
RF_RF_300_25_500_10_0.5_100	0.697769168717421	0.0422184960008546	0.62144420131291
RF_RF_300_25_500_10_0.75_100	0.698717363939074	0.0428110099922809	0.616252821670429
RF_RF_300_25_500_25_0.5_100	0.696363158409306	0.0419470889860589	0.61568848758465
RF_RF_300_25_500_25_0.75_100	0.698165203699115	0.0431007985843484	0.611738148984199
RF_RF_500_5_100_5_0.5_100	0.699353203623611	0.0459692476858424	0.602297592997812
RF_RF_500_5_100_5_0.75_100	0.701379847425461	0.0430327639015698	0.606094808126411
RF_RF_500_5_100_10_0.5_100	0.699230087494653	0.0439245568722972	0.606094808126411
RF_RF_500_5_100_10_0.75_100	0.701314584878453	0.0429019790282221	0.602144469525959
RF_RF_500_5_100_25_0.5_100	0.697748016581073	0.0431971624279588	0.613995485327314
RF_RF_500_5_100_25_0.75_100	0.699583940399516	0.0429771469729709	0.603273137697517
RF_RF_500_5_300_5_0.5_100	0.697316646125244	0.0444580291377566	0.608315098468271
RF_RF_500_5_300_5_0.75_100	0.701302609819944	0.0426188322271821	0.608352144469526
RF_RF_500_5_300_10_0.5_100	0.699792613864311	0.0438575085858873	0.616252821670429
RF_RF_500_5_300_10_0.75_100	0.701439208755533	0.0428631079628358	0.608916478555305
RF_RF_500_5_300_25_0.5_100	0.696656780972396	0.0414662760739874	0.612302483069977
RF_RF_500_5_300_25_0.75_100	0.699869478179854	0.0431490821609308	0.603837471783296
RF_RF_500_5_500_5_0.5_100	0.699125605456334	0.0464785853321629	0.607221006564551
RF_RF_500_5_500_5_0.75_100	0.701383241591402	0.0439470975688534	0.603273137697517
RF_RF_500_5_500_10_0.5_100	0.701068767298721	0.0426224944367034	0.615973741794311
RF_RF_500_5_500_10_0.75_100	0.700909028503394	0.0432907047299368	0.607223476297968
RF_RF_500_5_500_25_0.5_100	0.697693443147115	0.0426537771504592	0.607223476297968
RF_RF_500_5_500_25_0.75_100	0.699449836714141	0.042854664065717	0.603273137697517
RF_RF_500_10_100_5_0.5_100	0.701033244816926	0.0439920601053862	0.608315098468271
RF_RF_500_10_100_5_0.75_100	0.703097928913603	0.0428635006400126	0.611738148984199
RF_RF_500_10_100_10_0.5_100	0.700256136523223	0.0440094254410467	0.615124153498871
RF_RF_500_10_100_10_0.75_100	0.701915867142889	0.0431011129162414	0.60665914221219
RF_RF_500_10_100_25_0.5_100	0.699105072760773	0.0411893110983827	0.621896162528217
RF_RF_500_10_100_25_0.75_100	0.700645513427744	0.042113166149036	0.611738148984199
RF_RF_500_10_300_5_0.5_100	0.698646401369361	0.0440234928565443	0.613238512035011
RF_RF_500_10_300_5_0.75_100	0.702780879893201	0.042691298939743	0.616817155756208
RF_RF_500_10_300_10_0.5_100	0.700197452398601	0.0432140604363345	0.62144420131291
RF_RF_500_10_300_10_0.75_100	0.702796408252639	0.0427675797856267	0.61568848758465
RF_RF_500_10_300_25_0.5_100	0.697517168475754	0.0407749865231678	0.618510158013544
RF_RF_500_10_300_25_0.75_100	0.699795605580568	0.0425279301108849	0.609480812641084
RF_RF_500_10_500_5_0.5_100	0.700745481247228	0.0456440801191709	0.610503282275711
RF_RF_500_10_500_5_0.75_100	0.703147767795428	0.0423221285470612	0.616817155756208
RF_RF_500_10_500_10_0.5_100	0.700785289470118	0.0433404121186144	0.622460496613995
RF_RF_500_10_500_10_0.75_100	0.702388930731629	0.0428518146420121	0.613995485327314
RF_RF_500_10_500_25_0.5_100	0.69852409331066	0.0421249324280916	0.616817155756208
RF_RF_500_10_500_25_0.75_100	0.700200160852316	0.0427998820239501	0.605530474040632
RF_RF_500_25_100_5_0.5_100	0.699193987310585	0.0449137194649999	0.616520787746171
RF_RF_500_25_100_5_0.75_100	0.697026614694479	0.0430558644110075	0.610045146726862
RF_RF_500_25_100_10_0.5_100	0.696316543219178	0.0437347491563892	0.61117381489842
RF_RF_500_25_100_10_0.75_100	0.697878419544691	0.0421398327717072	0.607787810383747
RF_RF_500_25_100_25_0.5_100	0.693781253173464	0.0416738648045875	0.614559819413093
RF_RF_500_25_100_25_0.75_100	0.696422604203054	0.042299072067297	0.610045146726862
RF_RF_500_25_300_5_0.5_100	0.696450293339748	0.0435964810438235	0.609956236323851
RF_RF_500_25_300_5_0.75_100	0.696293041588732	0.0415335756764823	0.612866817155756
RF_RF_500_25_300_10_0.5_100	0.696289717183481	0.0429550715137267	0.617945823927765
RF_RF_500_25_300_10_0.75_100	0.697575061350394	0.0416562669918669	0.614559819413093
RF_RF_500_25_300_25_0.5_100	0.693119064051243	0.0419894679946617	0.616817155756208
RF_RF_500_25_300_25_0.75_100	0.695435546335431	0.0433046855507911	0.60665914221219
RF_RF_500_25_500_5_0.5_100	0.69785639603464	0.0454575402025016	0.615426695842451
RF_RF_500_25_500_5_0.75_100	0.6971214966974	0.0426838376691848	0.61117381489842
RF_RF_500_25_500_10_0.5_100	0.697358583940202	0.0443876933002104	0.617381489841986
RF_RF_500_25_500_10_0.75_100	0.697216923029874	0.0418280360448368	0.612302483069977
RF_RF_500_25_500_25_0.5_100	0.695204421743926	0.0430303270229842	0.614559819413093
RF_RF_500_25_500_25_0.75_100	0.695834574029785	0.0427379236050322	0.607787810383747
